monto,ubicacion,usuario,metodo_pago,dispositivo,direccion_ip,hora_transaccion,fraude
988.28,Córdoba,rporta,transferencia,tableta,209.83.137.8,0,True
159.39,Las Palmas,gmarquez,transferencia,PC,1.227.75.12,3,True
497.38,Palencia,criadooctavio,tarjeta_debito,tableta,214.64.140.142,0,True
815.79,Albacete,oacevedo,tarjeta_debito,tableta,124.172.24.96,20,True
77.67,Lugo,mruiz,tarjeta_debito,móvil,175.14.216.239,10,False
431.38,Toledo,jaimedominguez,transferencia,PC,182.64.99.249,23,True
310.21,Madrid,kcanales,transferencia,PC,132.176.189.52,19,False
598.65,Ávila,dricart,transferencia,tableta,21.235.60.61,4,False
890.22,Barcelona,blancoagustin,transferencia,PC,194.96.107.32,22,False
330.3,Ciudad,heraclio80,transferencia,PC,142.187.77.158,20,False
333.54,Albacete,lidiahuguet,transferencia,móvil,212.140.227.170,8,True
831.3,Huesca,maria-cristina14,transferencia,móvil,198.225.17.168,18,False
383.39,Vizcaya,atilio23,tarjeta_debito,móvil,97.80.106.38,18,False
858.88,Vizcaya,pelaezmiriam,tarjeta_credito,PC,192.118.74.66,23,False
584.27,Las Palmas,ssalom,tarjeta_debito,móvil,138.83.191.8,19,True
751.09,Murcia,filomena88,tarjeta_credito,PC,150.165.236.9,20,True
689.29,Toledo,pfiol,tarjeta_credito,móvil,82.80.186.38,8,True
690.75,Santa Cruz de Tenerife,khierro,tarjeta_credito,móvil,71.176.162.48,8,False
119.78,Palencia,felisacarbo,tarjeta_credito,tableta,125.11.223.50,5,False
963.52,Almería,toni48,paypal,tableta,222.156.187.139,8,True
590.27,Las Palmas,sanjuanangeles,paypal,tableta,78.197.2.111,18,False
676.81,Madrid,leon95,transferencia,PC,140.168.47.205,11,False
863.83,La Rioja,msureda,tarjeta_debito,tableta,205.199.112.172,10,False
102.07,Cantabria,irivas,tarjeta_debito,PC,133.177.19.74,8,False
13.55,Lugo,bleon,paypal,móvil,197.202.171.119,18,False
779.74,Lugo,baldomeroespada,tarjeta_credito,móvil,63.208.234.99,17,True
129.84,Álava,lisandrocespedes,paypal,móvil,189.154.233.99,0,False
527.83,Almería,heriberto90,paypal,tableta,130.105.187.126,23,True
118.62,León,dferrero,paypal,tableta,7.108.29.46,7,False
700.63,Zaragoza,gosuna,tarjeta_debito,móvil,205.234.83.210,5,True
847.25,Zaragoza,violeta28,paypal,PC,207.68.178.79,17,True
814.79,Salamanca,eisern,tarjeta_credito,tableta,219.244.173.154,8,False
191.48,Badajoz,noemi74,tarjeta_debito,PC,70.228.1.3,6,True
888.11,Asturias,coralpuga,tarjeta_debito,PC,190.44.67.164,15,False
592.22,La Coruña,juanitopaez,tarjeta_debito,tableta,168.144.205.26,9,False
289.71,Huesca,toribio49,tarjeta_debito,móvil,39.242.179.70,7,False
491.53,Soria,scobo,transferencia,tableta,193.86.169.220,23,False
326.75,Alicante,alamojaviera,tarjeta_debito,tableta,89.120.234.105,21,True
660.06,Alicante,renatareina,transferencia,PC,160.240.17.207,13,False
809.84,Álava,drocha,paypal,móvil,61.130.51.141,14,False
123.33,Málaga,emasoria,paypal,móvil,34.74.240.95,22,False
759.3,Palencia,gomilaestela,transferencia,tableta,84.23.127.17,7,False
337.72,Cádiz,fernandezprimitivo,paypal,tableta,185.131.58.189,16,False
217.4,Lleida,ester11,transferencia,móvil,133.20.239.42,7,True
403.21,Palencia,segismundo75,tarjeta_debito,PC,72.172.169.82,21,False
652.32,Almería,amatduilio,transferencia,tableta,47.56.123.21,20,False
255.61,Albacete,robertamontesinos,tarjeta_debito,tableta,193.104.24.83,19,False
688.77,Cantabria,melchor12,tarjeta_debito,tableta,64.97.208.108,22,True
891.95,Cantabria,rosadocurro,tarjeta_credito,PC,19.88.99.48,8,True
810.55,Soria,icerro,paypal,tableta,151.123.105.227,20,False
413.29,Murcia,icerro,tarjeta_credito,móvil,183.29.101.56,21,False
36.67,Lugo,juanalbero,paypal,tableta,207.26.203.97,13,False
280.25,Castellón,jesusazapata,paypal,PC,160.189.235.80,22,True
471.49,Almería,jenny64,transferencia,móvil,124.171.27.103,14,True
744.12,Toledo,describano,paypal,PC,19.108.216.225,20,False
975.23,Córdoba,susanitacordero,tarjeta_credito,tableta,116.130.151.208,1,True
309.54,Alicante,xborras,tarjeta_debito,móvil,102.55.205.64,13,False
211.72,Lleida,rocaisaias,tarjeta_credito,móvil,11.66.105.161,1,True
804.98,Melilla,montserrat46,paypal,móvil,71.148.255.38,2,False
880.24,Baleares,aragonpetrona,tarjeta_credito,PC,215.186.148.32,17,True
586.51,Castellón,pedrosaencarnacion,tarjeta_credito,PC,80.245.31.182,7,False
500.9,Jaén,hugocoll,transferencia,PC,199.244.222.130,15,True
316.49,Valladolid,ylobo,transferencia,tableta,156.35.231.215,5,True
650.8,Asturias,belen10,transferencia,PC,68.203.251.222,1,True
430.08,Cáceres,oliviapalau,tarjeta_debito,PC,194.17.159.127,7,True
770.63,Melilla,godoypaca,tarjeta_credito,móvil,8.52.155.108,0,False
81.01,Badajoz,ernestopol,tarjeta_debito,PC,107.241.140.89,23,False
894.83,Castellón,pablo32,tarjeta_credito,móvil,46.60.106.101,3,False
151.99,Badajoz,selena41,tarjeta_credito,móvil,196.168.236.218,1,False
497.83,Badajoz,horaciomorcillo,transferencia,tableta,211.250.206.7,8,False
327.67,Navarra,lexposito,transferencia,PC,151.120.44.125,5,False
265.44,Guadalajara,cesarleiva,tarjeta_debito,móvil,223.44.220.5,6,False
867.02,Valencia,palaciooctavio,transferencia,PC,81.40.235.88,8,True
